IC  Instruction     X         Y         SUM       CARRY     A       
37  JPZ shiftsix    00100001  00000000  00110001  00000000  00000000
39  Shiftsix:       00100001  00000000  00110001  00000000  00000000
40  A = Y           00100001  00000000  00110001  00000000  00000000
41  AND A 128       00100001  00000000  00110001  00000000  00000000
42  JPZ shiftseven  00100001  00000000  00110001  00000000  00000000
44  Shiftseven:     00100001  00000000  00110001  00000000  00000000
45  AND CARRY 255   00100001  00000000  00110001  00000000  00000000
46  JPZ addend      00100001  00000000  00110001  00000000  00000000
51  Addend:         00100001  00000000  00110001  00000000  00000000
52  X = SUM         00110001  00000000  00110001  00000000  00000000
